,sentence
0,अमेरिका में जन्मीं अभिनेत्री तथा फैशन डिज़ाइनर जिन्हें आधिकारिक तौर पर लिज़ारे के रूप में जाना जाता हैं उनके बारे में जानने के लिए लिज़ारे मैककॉयमिसिक देखें
1,लीजा रे बंगाली লিসা রায় जन्म  अप्रैल  एक कैनेडियन अभिनेत्री तथा पूर्व फैशन मॉडल हैं
2,  जून  को उनका डाइग्नोसिस करने पर उन्हें मल्टीपल मायेलोमा से ग्रस्त पाया गया और  जुलाई  को उनके उपचार का पहला उपक्रम शुरू किया गया
3, प्रारंभिक जीवन 
4,लीसा रे का जन्म टोरंटो ओंटारियो कनाडा में एक बंगाली भारतीय पिता और एक पोलिश माता के यहां हुआ और वह टोरंटो के एक उपनगर एटोबिकोक में बड़ी हुई. उन्होंने चार उच्चविद्यालयों में पांच वर्षों की पढ़ाई में अकादमिक तौर पर अपनी श्रेष्ठता का परिचय दिया
5, उन्होंने तीन अलगअलग उच्चविद्यालयों एटोबिकोक कॉलेजिएट इंस्टिट्यूट रिचव्यू कॉलेजिएट इंस्टिट्यूट और सिल्वरथॉर्न कॉलेजिएट इंस्टिट्यूट में पढ़ाई की
6,वह अपनी नानी से पोलिश भाषा में बात करती थीं तथा अपने चलचित्रप्रेमी पिता के साथ फेडरिको फेलिनी और सत्यजित राय के फिल्म देखा करती थीं
7, भारत में एक पारिवारिक अवकाश के दौरान एक भीड़ में एक एजेंट के द्वारा रे को देखा गया था
8, उस समय वह  साल की थीं तथा उसी समय उन्होंने मॉडलिंग भी शुरू की थी
9, जीवनवृत्ति 
10,लीसा रे पहली बार लोगों को तब ध्यानाकर्षित किया जब वह बॉम्बे डाइंग के एक विज्ञापन में दिखाई दीं जिसमें वह करन कपूर की विपरीत भूमिका में हाईकट वाली काले रंग की तैराकीपोशाक पहनी हुई थीं
11, इसके बाद वह पत्रकारिता की पढ़ाई के लिए विश्वविद्यालय जाने के उद्देश्य से कनाडा लौटीं लेकिन एक सड़क हादसे ने उनकी योजनाओं पर पानी फेर दिया क्योंकि इस दुर्घटना में उनकी मां घायल हो गई थीं
12, जिसके परिणामस्वरूप वह भारत लौट आईं
13, यहां वह ग्लैड रैग्स के कवर पेज पर लाल रंग की बेवाच शैली वाली एक तैराकीपोशाक पहनी हुई दिखाई दीं
14, इस सनसनी के कारण उन्हें और ज्यादा पत्रिकाओं के कवर पेज पर देखा जाने लगा और वह स्पोक्सपर्सन के डील में भी नज़र आने लगी और अंत में उसने अपने स्वयं के शोव्यवसाय के कार्यक्रम के मेज़बान के रूप में काम भी किया
15, टाइम्स ऑफ़ इंडिया के एक जनमत सर्वेक्षण ने उन्हें सहस्राब्दी की नौवीं सर्वाधिक सुन्दर महिला का नाम दिया
16, वह इस शीर्षदस में एकमात्र मॉडल थीं
17, में उन्होंने नेताजी नामक एक तमिल फिल्म से अपनी पहली सिनेमाई शुरुआत की जिसमें उनके विपरीत अभिनेता सरत कुमार थे
18, इसमें वह एक संक्षिप्त भूमिका में दिखाई दी
19, जिसे अनदेखा कर दिया गया
20, अनगिनत भूमिकाओं के बाद  में कसूर फिल्म के साथ उन्होंने बॉलीवुड में अपना पहला कदम रखा जिसमें उनके विपरीत अभिनेता आफताब शिवदासानी थे
21, बाद में उनकी ध्वनि को दिव्या दत्ता की ध्वनि से डब कर दिया गया क्योंकि वह हिंदी नहीं बोल पाती थीं
22, उस फिल्म में उन्होंने जो काम किया उस पर दीपा मेहता की नज़र पड़ी जिन्होंने  में बॉलीवुड/हॉलीवुड में रूमानी भारतीयकैनेडियन हुड़दंगिन के किरदार के लिए रे को अभिनीत किया
23,  में उन्होंने पुनः मेहता के साथ ऑस्करमनोनीत फिल्म वाटर में काम किया
24, इसमें उन्होंने अपनी पंक्तियों को हिंदी में ही कहा यद्यपि फिल्म को अंतिम रूप देने के समय उनकी ध्वनि को डब कर दिया गया
25, उसके बाद से उन्होंने कनाडा यूरोप और संयुक्त राज्य अमेरिका की फिल्मों में ही काम किया है
26,हाल ही में निभाई गई भूमिकाओं में ऑल हैट में खेत में काम करने वाली एक लड़की ए स्टोंस थ्रो में विद्यालय की एक अध्यापिका द वर्ल्ड अनसीन में  के दशक की रंगभेद वाली दक्षिण अफ्रीका की एक गृहिणी और शमीम सैरिफ द्वारा निर्देशित एवं हास्यपूर्ण ढंग से शीर्षित आइ कांट थिंक स्ट्रेट में एक ईसाईअरब समलैंगिक स्त्री की भूमिका शामिल हैं
27, में उन्होंने किल किल फास्टर फास्टर के चलचित्रण को पूरा किया जो जोएल रोज़ द्वारा इसी नाम से लिखे गए तथा समीक्षात्मक रूप से सराहनीय उपन्यास से प्रेरित एक समकालीन फिल्म नॉइर है
28, में वह नुसरत फ़तेह अली खान की प्रसिद्द गीत आफ़रीं आफ़रीं में दिखाई दीं
29,लीसा रे को हेलो नामक पत्रिका के कैनेडियन संस्करण में देश के ' सर्वाधिक सुंदर लोगों' में से एक के रूप में प्रर्दशित किया गया है
30, व्यक्तिगत जीवन 
31,लीसा रे अपने पुराने साथी तथा अति सफल फैशन फोटोग्राफर पाओलो ज़ैम्बाल्डी के साथ रह रही हैं
32,  जून  को उनका डाइग्नोसिस करने पर उन्हें मल्टीपल मायेलोमा से ग्रस्त पाया गया जो कि प्लाज़्मा कोशिकाओं के रूप में ज्ञात सफ़ेद रक्त कोशिकाओं का एक कैंसर है जो एंटीबॉडी रोगप्रतिकारक क्षमता का उत्पादन करते हैं
33, यह एक दुर्लभ और लाइलाज बीमारी है
34, अवार्ड्स 
35,  टोरंटो अंतर्राष्ट्रीय चलचित्र समारोह में भविष्य का समर्थित सितारा 
36, टाइम्स ऑफ़ इंडिया द्वारा सहस्राब्दी की शीर्षदस सर्वाधिक सुंदर भारतीय महिला 
37, वैंकूवर क्रिटिक्स सर्कल द्वारा वाटर के लिए कैनेडियन फिल्म की सर्वश्रेष्ठ अभिनेत्री का खिताब जीता संदर्भ . ग्लो पत्रिका दिसम्बर .
38,चलचित्रसूची 
39,इन्हें भी देखें
40, ऐंड्रिता रे
41, जेनिफ़र लॉरेंस
42, केट विंसलेट
43, केट अप्टन
44, सन्दर्भ 
45, बाहरी कड़ियाँ 
46,   
47, जॉर्ज स्ट्रॉमबॉलोपॉलस के साथ द आवर पर 
48,श्रेणी में जन्मे लोग
49,श्रेणीकैनेडियन फिल्म अभिनेता
50,श्रेणीहिन्दी अभिनेत्री
51,श्रेणीभारतीय महिला मॉडल
52,श्रेणीभारतीयकैनेडियंस
53,श्रेणीपोलिश मूल के कैनेडियंस
54,श्रेणीजीवित लोग
55,श्रेणीएटोबिकोक के लोग
56,श्रेणीमॉडल
57,श्रेणीगूगल परियोजना
58, तब यह कार्य पहले मौलाना बामजीद को सौंपा गया मगर जब उन्हें भी सफलता नहीं मिली तो मौलाना अब्दुल कादिर को यह काम सौंपा गया
59, मगर कोई भी शिक्षक अकबर को शिक्षित करने में सफल न हुआ
60, असल में पढ़नेलिखने में अकबर की रुचि नहीं थी उसकी रुचि कबूतर बाजी घुड़सवारी और कुत्ते पालने में अधिक थी
61, किन्तु ज्ञानोपार्जन में उसकी रुचि सदा से ही थी
62, कहा जाता है कि जब वह सोने जाता था एक व्यक्ति उसे कुछ पढ़ कर सुनाता रह्ता था
63, समय के साथ अकबर एक परिपक्व और समझदार शासक के रूप में उभरा जिसे कला स्थापत्य संगीत और साहित्य में गहरी रुचि रहीं
64, राजतिलक 
65,शेरशाह सूरी के पुत्र इस्लाम शाह के उत्तराधिकार के विवादों से उत्पन्न अराजकता का लाभ उठा कर हुमायूँ ने १५५५ में दिल्ली पर पुनः अधिकार कर लिया
66, इसमें उसकी सेना में एक अच्छा भाग फारसी सहयोगी ताहमस्प प्रथम का रहा
67, इसके कुछ माह बाद ही ४८ वर्ष की आयु में ही हुमायूँ का आकस्मिक निधन अपने पुस्तकालय की सीढ़ी से भारी नशे की हालात में गिरने के कारण हो गया
68, तब अकबर के संरक्षक बैरम खां ने साम्राज्य के हित में इस मृत्यु को कुछ समय के लिये छुपाये रखा और अकबर को उत्तराधिकार हेतु तैयार किया
69, १४ फ़रवरी १५५६ को अकबर का राजतिलक हुआ
70, ये सब मुगल साम्राज्य से दिल्ली की गद्दी पर अधिकार की वापसी के लिये सिकंदर शाह सूरी से चल रहे युद्ध के दौरान ही हुआ
71, १३ वर्षीय अकबर का कलनौर पंजाब में सुनहरे वस्त्र तथा एक गहरे रंग की पगड़ी में एक नवनिर्मित मंच पर राजतिलक हुआ
72, ये मंच आज भी बना हुआ है
73, उसे फारसी भाषा में सम्राट के लिये शब्द शहंशाह से पुकारा गया
74, वयस्क होने तक उसका राज्य बैरम खां के संरक्षण में चला
75, राज्य का विस्तार 
76,खोये हुए राज्य को पुनः प्राप्त करने के लिये अकबर के पिता हुमायूँ के अनवरत प्रयत्न अंततः सफल हुए और वह सन्‌ १५५५ में हिंदुस्तान पहुँच सका किंतु अगले ही वर्ष सन्‌ १५५६ में राजधानी दिल्ली में उसकी मृत्यु हो गई और गुरदासपुर के कलनौर नामक स्थान पर १४ वर्ष की आयु में अकबर का राजतिलक हुआ
77, अकबर का संरक्षक बैराम खान को नियुक्त किया गया जिसका प्रभाव उस पर १५६० तक रहा
78, तत्कालीन मुगल राज्य केवल काबुल से दिल्ली तक ही फैला हुआ था
79, इसके साथ ही अनेक समस्याएं भी सिर उठाये खड़ी थीं
80, १५६३ में शम्सुद्दीन अतका खान की हत्या पर उभरा जन आक्रोश १५६४६५ के बीच उज़बेक विद्रोह और १५६६६७ में मिर्ज़ा भाइयों का विद्रोह भी था किंतु अकबर ने बड़ी कुशलता से इन समस्याओं को हल कर लिया
81, अपनी कल्पनाशीलता से उसने अपने सामंतों की संख्या बढ़ाई
82, इसी बीच १५६६ में महाम अंका नामक उसकी धाय के बनवाये मदरसे वर्तमान पुराने किले परिसर में से शहर लौटते हुए अकबर पर तीर से एक जानलेवा हमला हुआ जिसे अकबर ने अपनी फुर्ती से बचा लिया हालांकि उसकी बांह में गहरा घाव हुआ
83, इस घटना के बाद अकबर की प्रशसन शैली में कुछ बदलाव आया जिसके तहत उसने शासन की पूर्ण बागडोर अपने हाथ में ले ली
84, इसके फौरन बाद ही हेमु के नेतृत्व में अफगान सेना पुनः संगठित होकर उसके सम्मुख चुनौती बनकर खड़ी थी
85, अपने शासन के आरंभिक काल में ही अकबर यह समझ गया कि सूरी वंश को समाप्त किए बिना वह चैन से शासन नहीं कर सकेगा
86, इसलिए वह सूरी वंश के सबसे शक्तिशाली शासक सिकंदर शाह सूरी पर आक्रमण करने पंजाब चल पड़ा
87,दिल्ली की सत्ताबदल
88,दिल्ली का शासन उसने मुग़ल सेनापति तारदी बैग खान को सौंप दिया
89, सिकंदर शाह सूरी अकबर के लिए बहुत बड़ा प्रतिरोध साबित नही हुआ
90, कुछ प्रदेशो मे तो अकबर के पहुंचने से पहले ही उसकी सेना पीछे हट जाती थी
91, अकबर की अनुपस्थिति मे हेमू विक्रमादित्य ने दिल्ली और आगरा पर आक्रमण कर विजय प्राप्त की
92, ६ अक्तूबर १५५६ को हेमु ने स्वयं को भारत का महाराजा घोषित कर दिया
93, इसी के साथ दिल्ली मे हिंदू राज्य की पुनः स्थापना हुई
94,सत्ता की वापसी
95,दिल्ली की पराजय का समाचार जब अकबर को मिला तो उसने तुरन्त ही बैरम खान से परामर्श कर के दिल्ली की तरफ़ कूच करने का इरादा बना लिया
96, अकबर के सलाहकारो ने उसे काबुल की शरण में जाने की सलाह दी
97, अकबर और हेमु की सेना के बीच पानीपत मे युद्ध हुआ
98, यह युद्ध पानीपत का द्वितीय युद्ध के नाम से प्रसिद्ध है
99, संख्या में कम होते हुए भी अकबर ने इस युद्ध मे विजय प्राप्त की
100, इस विजय से अकबर को १५०० हाथी मिले जो मनकोट के हमले में सिकंदर शाह सूरी के विरुद्ध काम आए
101, सिकंदर शाह सूरी ने आत्मसमर्पण कर दिया और अकबर ने उसे प्राणदान दे दिया
102,चहुँओर विस्तार
103,दिल्ली पर पुनः अधिकार जमाने के बाद अकबर ने अपने राज्य का विस्तार करना शुरू किया और मालवा को १५६२ में गुजरात को १५७२ में बंगाल को १५७४ में काबुल को १५८१ में कश्मीर को १५८६ में और खानदेश को १६०१ में मुग़ल साम्राज्य के अधीन कर लिया
104, अकबर ने इन राज्यों में एक एक राज्यपाल नियुक्त किया
105, अकबर यह नही चाहता था की मुग़ल साम्राज्य का केन्द्र दिल्ली जैसे दूरस्थ शहर में हो इसलिए उसने यह निर्णय लिया की मुग़ल राजधानी को फतेहपुर सीकरी ले जाया जाए जो साम्राज्य के मध्य में थी
106, कुछ ही समय के बाद अकबर को राजधानी फतेहपुर सीकरी से हटानी पड़ी
107, कहा जाता है कि पानी की कमी इसका प्रमुख कारण था
108, फतेहपुर सीकरी के बाद अकबर ने एक चलित दरबार बनाया जो कि साम्राज्य भर में घूमता रहता था इस प्रकार साम्राज्य के सभी कोनो पर उचित ध्यान देना सम्भव हुआ
109, सन १५८५ में उत्तर पश्चिमी राज्य के सुचारू राज पालन के लिए अकबर ने लाहौर को राजधानी बनाया
110, अपनी मृत्यु के पूर्व अकबर ने सन १५९९ में वापस आगरा को राजधानी बनाया और अंत तक यहीं से शासन संभाला
111, प्रशासन 
112,सन्‌ १५६० में अकबर ने स्वयं सत्ता संभाल ली और अपने संरक्षक बैरम खां को निकाल बाहर किया
113, अब अकबर के अपने हाथों में सत्ता थी लेकिन अनेक कठिनाइयाँ भी थीं
114, जैसे  शम्सुद्दीन अतका खान की हत्या पर उभरा जन आक्रोश १५६३ उज़बेक विद्रोह १५६४६५ और मिर्ज़ा भाइयों का विद्रोह १५६६६७ किंतु अकबर ने बड़ी कुशलता से इन समस्याओं को हल कर लिया
115, अपनी कल्पनाशीलता से उसने अपने सामंतों की संख्या बढ़ाई
116, सन्‌ १५६२ में आमेर के शासक से उसने समझौता किया  इस प्रकार राजपूत राजा भी उसकी ओर हो गये
117, इसी प्रकार उसने ईरान से आने वालों को भी बड़ी सहायता दी
118, भारतीय मुसलमानों को भी उसने अपने कुशल व्यवहार से अपनी ओर कर लिया
119, धार्मिक सहिष्णुता का उसने अनोखा परिचय दिया  हिन्दू तीर्थ स्थानों पर लगा कर जज़िया हटा लिया गया सन्‌ १५६३
120, इससे पूरे राज्यवासियों को अनुभव हो गया कि वह एक परिवर्तित नीति अपनाने में सक्षम है
121, इसके अतिरिक्त उसने जबर्दस्ती युद्धबंदियो का धर्म बदलवाना भी बंद करवा दिया
122, मुद्रा 
123,अकबर ने अपने शासनकाल में ताँबें चाँदी एवं सोनें की मुद्राएँ प्रचलित की
124, इन मुद्राओं के पृष्ठ भाग में सुंदर इस्लामिक छपाई हुआ करती थी
125, अकबर ने अपने काल की मुद्राओ में कई बदलाव किए
126, उसने एक खुली टकसाल व्यवस्था की शुरुआत की जिसके अन्दर कोई भी व्यक्ति अगर टकसाल शुल्क देने मे सक्षम था तो वह किसी दूसरी मुद्रा अथवा सोने से अकबर की मुद्रा को परिवर्तित कर सकता था
127, अकबर चाहता था कि उसके पूरे साम्राज्य में समान मुद्रा चले
128, राजधानी स्थानांतरण 
129,पानीपत का द्वितीय युद्ध होने के बाद हेमू को मारकर दिल्ली पर अकबर ने पुनः अधिकार किया
130, इसके बाद उसने अपने राज्य का विस्तार करना शुरू किया और मालवा को १५६२ में गुजरात को १५७२ में बंगाल को १५७४ में काबुल को १५८१ में कश्मीर को १५८६ में और खानदेशवर्तमान बुढ़हानपुर महाराष्ट्र का भाग को १६०१ में मुग़ल साम्राज्य के अधीन कर लिया
131, अकबर ने इन राज्यों में प्रशासन संभालने हेतु एकएक राज्यपाल नियुक्त किया
132, उसे राज संभालने के लिये दिल्ली कई स्थानों से दूर लगा और ये प्रतीत हुआ कि इससे प्रशासन में समस्या आ सकती है अतः उसने निर्णय लिया की मुग़ल राजधानी को आगरा के निकट फतेहपुर सीकरी ले जाया जाए जो साम्राज्य के लगभग मध्य में थी
133, एक पुराने बसे ग्राम सीकरी पर अकबर ने नया शहर बनवाया जिसे अपनी जीत यानि फतह की खुशी में फतेहाबाद या फतेहपुर नाम दिया गया
134, जल्दी ही इसे पूरे वर्तमान नाम फतेहपुर सीकरी से बुलाया जाने लगा
135, यहां के अधिकांश निर्माण उन १४ वर्षों के ही हैं जिनमें अकबर ने यहां निवास किया
136, शहर में शाही उद्यान आरामगाहें सामंतों व दरबारियों के लिये आवास तथा बच्चों के लिये मदरसे बनवाये गए
137, ब्लेयर और ब्लूम के अनुसार शहर के अंदर इमारतें दो प्रमुख प्रकार की हैं सेवा इमारतें जैसे कारवांसेरी टकसाल निर्माणियां बड़ा बाज़ार चहर सूक जहां दक्षिणपश्चिम/उत्तर पूर्व अक्ष के लम्बवत निर्माण हुए हैं और दूसरा शाही भाग जिसमें भारत की सबसे बड़ी सामूहिक मस्जिद है साथ ही आवासीय तथा प्रशासकीय इमारते हैं जिसे दौलतखाना कहते हैं
138, ये पहाड़ी से कुछ कोण पर स्थित हैं तथा किबला के साथ एक कोण बनाती हैं
139,किन्तु ये निर्णय सही सिद्ध नहीं हुआ और कुछ ही समय के बाद अकबर को राजधानी फतेहपुर सीकरी से हटानी पड़ी
140, इसके पीछे पानी की कमी प्रमुख कारण था
141, फतेहपुर सीकरी के बाद अकबर ने एक चलित दरबार की रचना की जो पूरे साम्राज्य में घूमता रहता था और इस प्रकार साम्राज्य के सभी स्थानों पर उचित ध्यान देना संभव हुआ
142, बाद में उसने सन १५८५ में उत्तर पश्चिमी भाग के लिए लाहौर को राजधानी बनाया
143, मृत्यु के पूर्व अकबर ने सन १५९९ में राजधानी वापस आगरा बनायी और अंत तक यहीं से शासन संभाला
144,आगरा शहर का नया नाम दिया गया अकबराबाद जो साम्राज्य की सबसे बड़ा शहर बना
145, शहर का मुख्य भाग यमुना नदी के पश्चिमी तट पर बसा था
146, यहां बरसात के पानी की निकासी की अच्छी नालियांनालों से परिपूर्ण व्यवस्था बनायी गई
147, लोधी साम्राज्य द्वारा बनवायी गई गारेमिट्टी से बनी नगर की पुरानी चारदीवारी को तोड़कर १५६५ में नयी बलुआ पत्थर की दीवार बनवायी गई
148, अंग्रेज़ इतिहासकार युगल ब्लेयर एवं ब्लूम के अनुसार इस लाल दीवार के कारण ही इसका नाम लाल किला पड़ा
149, वे आगे लिखते हैं कि यह किला पिछले किले के नक्शे पर ही कुछ अर्धवृत्ताकार बना था
150, शहर की ओर से इसे एक दोहरी सुरक्षा दीवार घेरे है जिसके बाहर गहरी खाई बनी है
151, इस दोहरी दीवार में उत्तर में दिल्ली गेट व दक्षिण में अमर सिंह द्वार बने हैं
152, ये दोनों द्वार अपने धनुषाकार मेहराबरूपी आलों व बुर्जों तथा लाल व सफ़ेद संगमर्मर पर नीली ग्लेज़्ड टाइलों द्वारा अलंकरण से ही पहचाने जाते हैं
153, वर्तमान किला अकबर के पौत्र शाहजहां द्वारा बनवाया हुआ है
154, इसमें दक्षिणी ओर जहांगीरी महल और अकबर महल हैं
155, नीतियां 
156, विवाह संबंध 
157,आंबेर के कछवाहा राजपूत राज भारमल ने अकबर के दरबार में अपने राज्य संभालने के कुछ समय बाद ही प्रवेश पाया था
158, इन्होंने अपनी राजकुमारी हरखा बाई का विवाह अकबर से करवाना स्वीकार किया
159, विवाहोपरांत मुस्लिम बनी और मरियमउज़ज़मानी कहलायी
160, उसे राजपूत परिवार ने सदा के लिये त्याग दिया और विवाह के बाद वो कभी आमेर वापस नहीं गयी
161, उसे विवाह के बाद आगरा या दिल्ली में कोई महत्त्वपूर्ण स्थान भी नहीं मिला था बल्कि भरतपुर जिले का एक छोटा सा गांव मिला था
162, उसकी मृत्यु १६२३ में हुई थी
163, उसके पुत्र जहांगीर द्वारा उसके सम्मान में लाहौर में एक मस्जिद बनवायी गई थी
164, भारमल को अकबर के दरबार में ऊंचा स्थान मिला था और उसके बाद उसके पुत्र भगवंत दास और पौत्र मानसिंह भी दरबार के ऊंचे सामंत बने रहे
165,हिन्दू राजकुमारियों को मुस्लिम राजाओं से विवाह में संबंध बनाने के प्रकरण अकबर के समय से पूर्व काफी हुए थे किन्तु अधिकांश विवाहों के बाद दोनों परिवारों के आपसी संबंध अच्छे नहीं रहे और न ही राजकुमारियां कभी वापस लौट कर घर आयीं
166, हालांकि अकबर ने इस मामले को पिछले प्रकरणों से अलग रूप दिया जहां उन रानियों के भाइयों या पिताओं को पुत्रियों या बहनों के विवाहोपरांत अकबर के मुस्लिम ससुराल वालों जैसा ही सम्मान मिला करता था सिवाय उनके संग खाना खाने और प्रार्थना करने के
167, उन राजपूतों को अकबर के दरबार में अच्छे स्थान मिले थे
168, सभी ने उन्हें वैसे ही अपनाया था सिवाय कुछ रूढ़िवादी परिवारों को छोड़कर जिन्होंने इसे अपमान के रूप में देखा था
169,अन्य राजपूर रजवाड़ों ने भी अकबर के संग वैवाहिक संबंध बनाये थे किन्तु विवाह संबंध बनाने की कोई शर्त नहीं थी
170, दो प्रमुख राजपूत वंश मेवाड़ के शिशोदिया और रणथंभौर के हाढ़ा वंश इन संबंधों से सदा ही हटते रहे
171, अकबर के एक प्रसिद्ध दरबारी राजा मानसिंह ने अकबर की ओर से एक हाढ़ा राजा सुर्जन हाढ़ा के पास एक संबंध प्रस्ताव भी लेकर गये जिसे सुर्जन सिंह ने इस शर्त पर स्वीकार्य किया कि वे अपनी किसी पुत्री का विवाह अकबर के संग नहीं करेंगे
172, अन्ततः कोई वैवाहिक संबंध नहीं हुए किन्तु सुर्जन को गढ़कटंग का अधिभार सौंप कर सम्मानित किया गया
173, अन्य कई राजपूत सामंतों को भी अपने राजाओं का पुत्रियों को मुगलों को विवाह के नाम पर देना अच्छा नहीं लगता था
174, गढ़ सिवान के राठौर कल्याणदास ने मोटा राजा राव उदयसिंह और जहांगीर को मारने की धमकी भी दी थी क्योंकि उदयसिंह ने अपनी पुत्री जगत गोसाई का विवाह अकबर के पुत्र जहांगीर से करने का निश्चय किया था
175, अकबर ने ये ज्ञान होने पर शाही फौजों को कल्याणदास पर आक्रमण हेतु भेज दिया
176, कल्याणदास उस सेना के संग युद्ध में काम आया और उसकी स्त्रियों ने जौहर कर लिया
177,इन संबंधों का राजनीतिक प्रभाव महत्त्वपूर्ण था
178, हालांकि कुछ राजपूत स्त्रियों ने अकबर के हरम में प्रवेश लेने पर इस्लाम स्वीकार किया फिर भी उन्हें पूर्ण धार्मिक स्वतंत्रता थी साथ ही उनके सगेसंबंधियों को जो हिन्दू ही थे दरबार में उच्चस्थान भी मिले थे
179, इनके द्वारा जनसाधारण की ध्वनि अकबर के दरबार तक पहुंचा करती थी
180, दरबार के हिन्दू और मुस्लिम दरबारियों के बीच संपर्क बढ़ने से आपसी विचारों का आदानप्रदान हुआ और दोनों धर्मों में संभाव की प्रगति हुई
181, इससे अगली पीढ़ी में दोनों रक्तों का संगम था जिसने दोनों संप्रदायों के बीच सौहार्द को भी बढ़ावा दिया
182, परिणामस्वरूप राजपूत मुगलों के सर्वाधिक शक्तिशाली सहायक बने राजपूत सैन्याधिकारियों ने मुगल सेना में रहकर अनेक युद्ध किये तथा जीते
183, इनमें गुजरात का १५७२ का अभियान भी था
