,sentence
184, अकबर की धार्मिक सहिष्णुता की नीति ने शाही प्रशासन में सभी के लिये नौकरियों और रोजगार के अवसर खोल दिये थे
185, इसके कारण प्रशासन और भी दृढ़ होता चला गया
186, कामुकता 
187,तत्कालीन समाज में वेश्यावृति को सम्राट का संरक्षण प्रदान था
188, उसकी एक बहुत बड़ी हरम थी जिसमे बहुत सी स्त्रियाँ थीं
189, इनमें अधिकांश स्त्रियों को बलपूर्वक अपहृत करवा कर वहां रखा हुआ था
190, उस समय में सती प्रथा भी जोरों पर थी
191, तब कहा जाता है कि अकबर के कुछ लोग जिस सुन्दर स्त्री को सती होते देखते थे बलपूर्वक जाकर सती होने से रोक देते व उसे सम्राट की आज्ञा बताते तथा उस स्त्री को हरम में डाल दिया जाता था
192, हालांकि इस प्रकरण को दरबारी इतिहासकारों ने कुछ इस ढंग से कहा है कि इस प्रकार बादशाह सलामत ने सती प्रथा का विरोध किया व उन अबला स्त्रियों को संरक्षण दिया
193, अपनी जीवनी में अकबर ने स्वयं लिखा है– यदि मुझे पहले ही यह बुधिमत्ता जागृत हो जाती तो मैं अपनी सल्तनत की किसी भी स्त्री का अपहरण कर अपने हरम में नहीं लाता
194, इस बात से यह तो स्पष्ट ही हो जाता है कि वह सुन्दरियों का अपहरण करवाता था
195, इसके अलावा अपहरण न करवाने वाली बात की निरर्थकता भी इस तथ्य से ज्ञात होती है कि न तो अकबर के समय में और न ही उसके उतराधिकारियो के समय में हरम बंद हुई थी
196,आईने अकबरी के अनुसार अब्दुल कादिर बदायूंनी कहते हैं कि बेगमें कुलीन दरबारियो की पत्नियां अथवा अन्य स्त्रियां जब कभी बादशाह की सेवा में पेश होने की इच्छा करती हैं तो उन्हें पहले अपने इच्छा की सूचना देकर उत्तर की प्रतीक्षा करनी पड़ती है जिन्हें यदि योग्य समझा जाता है तो हरम में प्रवेश की अनुमति दी जाती है
197, अकबर अपनी प्रजा को बाध्य किया करता था की वह अपने घर की स्त्रियों का नग्न प्रदर्शन सामूहिक रूप से आयोजित करे जिसे अकबर ने खुदारोज प्रमोद दिवस नाम दिया हुआ था
198, इस उत्सव के पीछे अकबर का एकमात्र उदेश्य सुन्दरियों को अपने हरम के लिए चुनना था
199, गोंडवाना की रानी दुर्गावती पर भी अकबर की कुदृष्टि थी
200, उसने रानी को प्राप्त करने के लिए उसके राज्य पर आक्रमण कर दिया
201, युद्ध के दौरान वीरांगना ने अनुभव किया कि उसे मारने की नहीं वरन बंदी बनाने का प्रयास किया जा रहा है तो उसने वहीं आत्महत्या कर ली
202, तब अकबर ने उसकी बहन और पुत्रबधू को बलपूर्वक अपने हरम में डाल दिया
203, अकबर ने यह प्रथा भी चलाई थी कि उसके पराजित शत्रु अपने परिवार एवं परिचारिका वर्ग में से चुनी हुई महिलायें उसके हरम में भेजे
204, पुर्तगालियों से संबंध 
205,१५५६ में अकबर के गद्दी लेने के समय पुर्तगालियों ने महाद्वीप के पश्चिमी तट पर बहुत से दुर्ग व निर्माणियाँ फैक्ट्रियाँ लगा ली थीं और बड़े स्तर पर उस क्षेत्र में नौवहन और सागरीय व्यापार नियंत्रित करने लगे थे
206, इस उपनिवेशवाद के चलते अन्य सभी व्यापारी संस्थाओं को पुर्तगालियों की शर्तों के अधीण ही रहना पढ़ता था जिस पर उस समय के शासकों व व्यापारियों को आपत्ति होने लगीं थीं
207, मुगल साम्राज्य ने अकबर के राजतिलक के बाद पहला निशाना गुजरात को बनाया और सागर तट पर प्रथम विजय पायी १५७२ में किन्तु पुर्तगालियों की शक्ति को ध्यान में रखते हुए पहले कुछ वर्षों तक उनसे मात्र फारस की खाड़ी क्षेत्र में यात्रा करने हेतु कर्ताज़ नामक पास लिये जाते रहे
208, १५७२ में सूरत के अधिग्रहण के समय मुगलों और पुर्तगालियों की प्रथम भेंट हुई और पुर्तगालियों को मुगलों की असली शक्ति का अनुमान हुआ और फलतः उन्होंने युद्ध के बजाय नीति से काम लेना उचित समझा व पुर्तगाली राज्यपाल ने अकबर के निर्देश पर उसे एक राजदूत के द्वारा संधि प्रस्ताव भेजा
209, अकबर ने उस क्षेत्र से अपने हरम के व अन्य मुस्लिम लोगों द्वारा मक्का को हज की यात्रा को सुरक्षित करने की दृष्टि से प्रस्ताव स्वीकार कर लिया
210, १५७३ में अकबर ने अपने गुजरात के प्रशासनिक अधिकारियों को एक फरमान जारी किया जिसमें निकटवर्त्ती दमण में पुर्तगालियों को शांति से रहने दिये जाने का आदेश दिया था
211, इसके बदले में पुर्तगालियों ने अकबर के परिवार के लिये हज को जाने हेतु पास जारी किये थे
212, तुर्कों से संबंध 
213,१५७६ में में अकबर ने याह्या सलेह के नेतृत्व में अपने हरम के अनेक सदस्यों सहित हाजियों का एक बड़ा जत्था हज को भेजा
214, ये जत्था दो पोतों में सूरत से जेद्दाह बंदरगाह पर १५७७ में पहुंचा और मक्का और मदीना को अग्रसर हुआ
215, १५७७ से १५८० के बीच चार और कारवां हज को रवाना हुआ जिनके साथ मक्का व मदीना के लोगों के लिये भेंटें व गरीबों के लिये सदके थे
216, ये यात्री समाज के आर्थिक रूप से निचले वर्ग के थे और इनके जाने से उन शहरों पर आर्थिक भार बढ़ा
217, तब तुर्क प्रशासन ने इनसे घर लौट जाने का निवेदन किया जिस पर हरम की स्त्रियां तैयार न हुईं
218, काफी विवाद के बाद उन्हें विवश होकर लौटना पढ़ा
219, अदन के राज्यपाल को १५८० में आये यात्रियों की बड़ी संख्या देखकर बढ़ा रोष हुआ और उसने लौटते हुए मुगलों का यथासंभव अपमान भी किया
220,  इन प्रकरणों के कारण अकबर को हाजियों की यात्राओं पर रोक लगानी पड़ी
221, १५८४ के बाद अकबर ने यमन के साम्राज्य के अधीनस्थ अदन के बंदरगाह पर पुर्तगालियों की मदद से चढ़ाई करने की योजना बनायी
222, पुर्तगालियों से इस बारे में योजना बनाने हेतु एक मुगल दूत गोआ में अक्तूबर १५८४ से स्थायी रूप से तैनात किया गया
223, १५८७ में एक पुर्तगाली टुकड़ी ने यमन पर आक्रमण भी किया किन्तु तुर्क नौसेना द्वारा हार का सामना करना पड़ा
224, इसके बाद मुगलपुर्तगाली गठबंधन को भी धक्का पहुंचा क्योंकि मुगल जागीरदारों द्वारा जंज़ीरा में पुर्तगालियों पर लगातार दबाव डाला जा रहा था
225, धर्म 
226,अकबर एक मुसलमान था पर दूसरे धर्म एवं संप्रदायों के लिए भी उसके मन में आदर था
227, जैसेजैसे अकबर की आयु बदती गई वैसेवैसे उसकी धर्म के प्रति रुचि बढ़ने लगी
228, उसे विशेषकर हिंदू धर्म के प्रति अपने लगाव के लिए जाना जाता हैं
229, उसने अपने पूर्वजो से विपरीत कई हिंदू राजकुमारियों से शादी की
230, इसके अलावा अकबर ने अपने राज्य में हिन्दुओ को विभिन्न राजसी पदों पर भी आसीन किया जो कि किसी भी भूतपूर्व मुस्लिम शासक ने नही किया था
231, वह यह जान गया था कि भारत में लम्बे समय तक राज करने के लिए उसे यहाँ के मूल निवासियों को उचित एवं बराबरी का स्थान देना चाहिये
232, हिन्दू धर्म पर प्रभाव 
233,हिन्दुओं पर लगे जज़िया १५६२ में अकबर ने हटा दिया किंतु १५७५ में मुस्लिम नेताओं के विरोध के कारण वापस लगाना पड़ा हालांकि उसने बाद में नीतिपूर्वक वापस हटा लिया
234, जज़िया कर गरीब हिन्दुओं को गरीबी से विवश होकर इस्लाम की शरण लेने के लिए लगाया जाता था
235, यह मुस्लिम लोगों पर नहीं लगाया जाता था
236, इस कर के कारण बहुत सी गरीब हिन्दू जनसंख्या पर बोझ पड़ता था जिससे विवश हो कर वे इस्लाम कबूल कर लिया करते थे
237, फिरोज़ शाह तुगलक ने बताया है कि कैसे जज़िया द्वारा इस्लाम का प्रसार हुआ था
238,अकबर द्वारा जज़िया और हिन्दू तीर्थों पर लगे कर हटाने के सामयिक निर्णयों का हिन्दुओं पर कुछ खास प्रभाव नहीं पड़ा क्योंकि इससे उन्हें कुछ खास लाभ नहीं हुआ क्योंकि ये कुछ अंतराल बाद वापस लगा दिए गए
239, अकबर ने बहुत से हिन्दुओं को उनकी इच्छा के विरुद्ध भी इस्लाम ग्रहण करवाया था इसके अलावा उसने बहुत से हिन्दू तीर्थ स्थानों के नाम भी इस्लामी किए जैसे १५८३ में प्रयागराज को इलाहाबाद किया गया
240, अकबर के शासनकाल में ही उसके एक सिपहसालार हुसैन खान तुक्रिया ने हिन्दुओं को बलपूर्वक भेदभाव दर्शक बिल्ले उनके कंधों और बांहों पर लगाने को विवश किया था
241,ज्वालामुखी मंदिर के संबंध में एक कथा काफी प्रचलित है
242, यह १५४२ से १६०५ के मध्य का ही होगा तभी अकबर दिल्ली का राजा था
243, ध्यानुभक्त माता जोतावाली का परम भक्त था
244, एक बार देवी के दर्शन के लिए वह अपने गांववासियो के साथ ज्वालाजी के लिए निकला
245, जब उसका काफिला दिल्ली से गुजरा तो मुगल बादशाह अकबर के सिपाहियों ने उसे रोक लिया और राजा अकबर के दरबार में पेश किया
246, अकबर ने जब ध्यानु से पूछा कि वह अपने गांववासियों के साथ कहां जा रहा है तो उत्तर में ध्यानु ने कहा वह जोतावाली के दर्शनो के लिए जा रहे है
247, अकबर ने कहा तेरी मां में क्या शक्ति है  और वह क्याक्या कर सकती है  तब ध्यानु ने कहा वह तो पूरे संसार की रक्षा करने वाली हैं
248, ऐसा कोई भी कार्य नही है जो वह नहीं कर सकती है
249, अकबर ने ध्यानु के घोड़े का सर कटवा दिया और कहा कि अगर तेरी मां में शक्ति है तो घोड़े के सर को जोड़कर उसे जीवित कर दें
250, यह वचन सुनकर ध्यानु देवी की स्तुति करने लगा और अपना सिर काट कर माता को भेट के रूप में प्रदान किया
251, माता की शक्ति से घोड़े का सर जुड गया
252, इस प्रकार अकबर को देवी की शक्ति का एहसास हुआ
253, बादशाह अकबर ने देवी के मंदिर में सोने का छत्र भी चढाया
254, किन्तु उसके मन मे अभिमान हो गया कि वो सोने का छत्र चढाने लाया है तो माता ने उसके हाथ से छत्र को गिरवा दिया और उसे एक अजीब नई धातु का बना दिया जो आज तक एक रहस्य है
255, यह छत्र आज भी मंदिर में मौजूद है
256,इतिहासकार दशरथ शर्मा बताते हैं कि हम अकबर को उसके दरबार के इतिहास और वर्णनों जैसे अकबरनामा आदि के अनुसार महान कहते हैं
257, यदि कोई अन्य उल्लेखनीय कार्यों की ओर देखे जैसे दलपत विलास तब स्पष्ट हो जाएगा कि अकबर अपने हिन्दू सामंतों से कितना अभद्र व्यवहार किया करता था
258, अकबर के नवरत्न राजा मानसिंह द्वारा विश्वनाथ मंदिर के निर्माण को अकबर की अनुमति के बाद किए जाने के कारण हिन्दुओं ने उस मंदिर में जाने का बहिष्कार कर दिया
259, कारण साफ था कि राजा मानसिंह के परिवार के अकबर से वैवाहिक संबंध थे
260, अकबर के हिन्दू सामंत उसकी अनुमति के बगैर मंदिर निर्माण तक नहीं करा सकते थे
261, बंगाल में राजा मानसिंह ने एक मंदिर का निर्माण बिना अनुमति के आरंभ किया तो अकबर ने पता चलने पर उसे रुकवा दिया और १५९५ में उसे मस्जिद में बदलने के आदेश दिए
262,अकबर के लिए आक्रोश की हद एक घटना से पता चलती है
263, हिन्दू किसानों के एक नेता राजा राम ने अकबर के मकबरे सिकंदरा आगरा को लूटने का प्रयास किया जिसे स्थानीय फ़ौजदार मीर अबुल फजल ने असफल कर दिया
264, इसके कुछ ही समय बाद १६८८ में राजा राम सिकंदरा में दोबारा प्रकट हुआ और शाइस्ता खां के आने में विलंब का फायदा उठाते हुए उसने मकबरे पर दोबारा सेंध लगाई और बहुत से बहुमूल्य सामान जैसे सोने चाँदी बहुमूल्य कालीन चिराग इत्यादि लूट लिए तथा जो ले जा नहीं सका उन्हें बर्बाद कर गया
265, राजा राम और उसके आदमियों ने अकबर की अस्थियों को खोद कर निकाल लिया एवं जला कर भस्म कर दिया जो कि मुस्लिमों के लिए घोर अपमान का विषय था
266, हिंदु धर्म से लगाव 
267,बाद के वर्षों में अकबर को अन्य धर्मों के प्रति भी आकर्षण हुआ
268, अकबर का हिंदू धर्म के प्रति लगाव केवल मुग़ल साम्राज्य को ठोस बनाने के ही लिए नही था वरन उसकी हिंदू धर्म में व्यक्तिगत रुचि थी
269, हिंदू धर्म के अलावा अकबर को शिया इस्लाम एवं ईसाई धर्म में भी रुचि थी
270, ईसाई धर्म के मूलभूत सिद्धांत जानने के लिए उसने एक बार एक पुर्तगाली ईसाई धर्म प्रचारक को गोआ से बुला भेजा था
271, अकबर ने दरबार में एक विशेष जगह बनवाई थी जिसे इबादतखाना प्रार्थनास्थल कहा जाता था जहाँ वह विभिन्न धर्मगुरुओं एवं प्रचारकों से धार्मिक चर्चाएं किया करता था
272, उसका यह दूसरे धर्मों का अन्वेषण कुछ मुस्लिम कट्टरपंथी लोगों के लिए असहनीय था
273, उन्हे लगने लगा था कि अकबर अपने धर्म से भटक रहा है
274, इन बातों में कुछ सच्चाई भी थी अकबर ने कई बार रुढ़िवादी इस्लाम से हट कर भी कुछ फैसले लिए यहाँ तक कि १५८२ में उसने एक नये संप्रदाय की ही शुरुआत कर दी जिसे दीनएइलाही यानी ईश्वर का धर्म कहा गया
275, सुलहएकुल 
276,दीनएइलाही नाम से अकबर ने १५८२ में एक नया धर्म बनाया जिसमें सभी धर्मो के मूल तत्वों को डाला इसमे प्रमुखतः हिंदू एवं इस्लाम धर्म थे
277, इनके अलावा पारसी जैन एवं ईसाई धर्म के मूल विचारों को भी सम्मिलित किया
278, हालांकि इस धर्म के प्रचार के लिए उसने कुछ अधिक उद्योग नहीं किये केवल अपने विश्वस्त लोगो को ही इसमे सम्मिलित किया
279, कहा जाता हैं कि अकबर के अलावा केवल राजा बीरबल ही मृत्यु तक इस के अनुयायी थे
280, दबेस्तानएमजहब के अनुसार अकबर के पश्चात केवल १९ लोगो ने इस धर्म को अपनाया
281, कालांतर में अकबर ने एक नए पंचांग की रचना की जिसमे कि उसने एक ईश्वरीय संवत को आरम्भ किया जो उसके ही राज्याभिषेक के दिन से प्रारम्भ होता था
282, उसने तत्कालीन सिक्कों के पीछे ‘‘अल्लाहओअकबर’’ लिखवाया जो अनेकार्थी शब्द था
283, अकबर का शाब्दिक अर्थ है महान और ‘‘अल्लाहओअकबर’’ शब्द के दो अर्थ हो सकते थे अल्लाह महान हैं  या अकबर ही अल्लाह हैं
284, दीनएइलाही सही मायनो में धर्म न होकर एक आचार संहिता के समान था
285, इसमे भोग घमंड निंदा करना या दोष लगाना वर्जित थे एवं इन्हे पाप कहा गया
286, दया विचारशीलता और संयम इसके आधार स्तम्भ थे
287,यह तर्क दिया गया है कि दीनएइलैही का एक नया धर्म होने का सिद्धांत गलत धारणा है जो कि बाद में ब्रिटिश इतिहासकारों द्वारा अबुल फजल के कार्यों के गलत अनुवाद के कारण पैदा हुआ था
288, हालांकि यह भी स्वीकार किया जाता है कि सुलहएकुल की नीति जिसमें दीनईइलैही का सार था अकबर ने केवल धार्मिक उद्देश्यों के लिए नहीं बल्कि सामान्य शाही प्रशासनिक नीति का एक भाग के रूप में अपनाया था
289, इसने अकबर की धार्मिक सहानुभूति की नीति का आधार बनाया
290,  में अकबर की मौत के समय उनके मुस्लिम विषयों में असंतोष का कोई संकेत नहीं था और अब्दुल हक जैसे एक धर्मशास्त्री की धारणा थी कि निकट संबंध बने रहे
291, अकबर के नवरत्न 
292,निरक्षर होते हुई भी अकबर को कलाकारों एवं बुद्धिजीवियो से विशेष प्रेम था
293, उसके इसी प्रेम के कारण अकबर के दरबार में नौ ९ अति गुणवान दरबारी थे जिन्हें अकबर के नवरत्न के नाम से भी जाना जाता है
294, अबुल फजल १५५१  १६०२ ने अकबर के काल को कलमबद्ध किया था
295, उसने अकबरनामा की भी रचना की थी
296, इसने ही आइनएअकबरी भी रचा था
297, फैजी १५४७  १५९५ अबुल फजल का भाई था
298, वह फारसी में कविता करता था
299, राजा अकबर ने उसे अपने बेटे के गणित शिक्षक के पद पर नियुक्त किया था
300, मिंया तानसेन अकबर के दरबार में गायक थे
301, वह कविता भी लिखा करते थे
302, राजा बीरबल १५२८  १५८३ दरबार के विदूषक और अकबर के सलाहकार थे
303, ये परम बुद्धिमान कहे जाते हैं
304, इनके अकबर के संग किस्से आज भी कहे जाते हैं
305, राजा टोडरमल अकबर के वित्त मंत्री थे
306, इन्होंने विश्व की प्रथम भूमि लेखा जोखा एवं मापन प्रणाली तैयार की थी
307, राजा मान सिंह आम्बेर जयपुर के कच्छवाहा राजपूत राजा थे
308, वह अकबर की सेना के प्रधान सेनापति थे
309, इनकी बुआ जोधाबाई अकबर की पटरानी थी
310, अब्दुल रहीम खानऐखाना एक कवि थे और अकबर के संरक्षक बैरम खान के बेटे थे
311, फकीर अजिओंदिन अकबर के सलाहकार थे
312, मुल्लाह दो पिअज़ा अकबर के सलाहकार थे
313, फिल्म एवं साहित्य में 
314,अकबर का व्यक्तित्व बहुचर्चित रहा है
315, इसलिए भारतीय साहित्य एवं सिनेमा ने अकबर से प्रेरित कई पात्र रचे गए हैं
316, २००८ में आशुतोष गोवरिकर निर्देशित फिल्म जोधा अकबर में अकबर एवं उनकी पत्नी की कहानी को दर्शाया गया है
317, अकबर एवं जोधा बाई का पात्र क्रमशः ऋतिक रोशन एवं ऐश्वर्या राय ने निभाया है
318, १९६० में बनी फिल्म मुग़लएआज़म भारतीय सिनेमा की एक लोकप्रिय फिल्म है
319, इसमें अकबर का पात्र पृथ्वीराज कपूर ने निभाया था
320, इस फिल्म में अकबर के पुत्र सलीम की प्रेम कथा और उस कारण से पिता पुत्र में पैदा हुए द्वंद को दर्शाया गया है
321, सलीम की भूमिका दिलीप कुमार एवं अनारकली की भूमिका मधुबाला ने निभायी थी
322, १९९० में जी टीवी ने अकबरबीरबल नाम से एक धारावाहिक प्रसारित किया था जिसमे अकबर का पात्र हिंदी अभिनेता विक्रम गोखले ने निभाया था
323, नब्बे के दशक में संजय खान कृत धारावाहिक अकबर दी ग्रेट दूरदर्शन पर प्रदर्शित किया गया था
324, प्रसिद्ध अंग्रेजी साहित्यकार सलमान रुशदी के उपन्यास दी एन्चैन्ट्रेस ऑफ़ फ्लोरेंस अंग्रेज़ी    में अकबर एक मुख्य पात्र है
325, मुग़ल सम्राटों का कालक्रम 
326, इन्हें भी देखें 
327, मुगलएआज़म  फ़िल्म
328, जोधा अकबर  फ़िल्म
329, अकबर का मकबरा
330, अकबर के नवरत्न
331, अकबरनामा
332, सन्दर्भ 
333, बाहरी कड़ियाँ 
334,             |= 
335,   प्रयासवर्ल्डप्रेस पर
336,   कस्बा पर
337,   लखनवी ब्लॉग पर
338,   वर्ल्डप्रेस पर
339,   अकबर के उत्थान की कहानी
340,   पुस्तक देखें
341,   कस्बा पर
342,श्रेणीअकबर
343,श्रेणीभारत का इतिहास
344,श्रेणीआगरा
345,श्रेणीमुगल
346,श्रेणीमुगल बादशाह
347,श्रेणीदीन ए इलाही
348,श्रेणीहिन्दी विकि डीवीडी परियोजना
349, हर जगह कंप्यूटर सहायक सिद्ध हो रहा है
350, इसकी खोज से हर क्षेत्र में सुविधाएँ बढ़ी हैं
351, पलक झपकते ही तमाम सूचनाएँ दुनिया के कोनेकोने तक पहुँचने लगी हैं और सूचनाओं के आधार पर नित नए प्रयोगों के नए रास्ते भी खुलने लगे हैं
352,इसी तरह चिकित्सा के क्षेत्र में कैटस्कैनर रक्षा विज्ञान के क्षेत्र में मिसाइलें राडार और परमाणु अस्त्र सूचना जगत में उपग्रहों परिवहन के क्षेत्र में मोटर कारों व वायुयानों तथा कृषि के क्षेत्र में रासायनिक उर्वरकों और कृषि उपकरणों का विकास भी मिश्रित वैज्ञानिक उपलब्धियाँ हैं
353, भारत इन सभी क्षेत्रों में सहभागी है
354, आज भारत न सिर्फ दूसरे देशों से तकनीक लेकर अद्भुत कार्य कर रहा है बल्कि मौलिक स्तर पर भी अपना योगदान कर रहा है
355, भारत हर प्रकार से समाज के विभिन्न क्षेत्रों में वैज्ञानिक विकास में अग्रणी है
356, प्रसिद्ध आधुनिक भारतीय वैज्ञानिक और उनकी उपलब्धियाँ
357,आधुनिक युग में भारत में विज्ञान के विभिन्न क्षेत्रों में नएनए प्रयोग लगातार होते रहे किन्तु कुछ भारतीय वैज्ञानिक उपलब्धियों के कारण पूरी दुनिया में भारत का नाम रोशन हुआ
358, प्रमुख वैज्ञानिकों में जगदीश चंद्र बोस सी.वी. रमण होमी जहाँगीर भाभा शांतिस्वरूप भटनागर एम. एन. साहा प्रफुल्लचंद्र राय हरगोविंद खुराना आदि नाम उल्लेखनीय हैं
359, जगदीश चंद्र बोस ने उचित साधनों और उपकरणों के अभाव में भी अपना कार्य जारी रखा
360, उन्होंने लघु रेडियो तरंगों का निर्माण किया
361, विद्युत चुंबकीय तरंगों के प्रयोग उन्होंने मारकोनी से पहले ही पूरे कर लिए थे
362, पौधों में जीवन के लक्षणों की खोज उनकी महत्त्वपूर्ण उपलब्धि है
363,सी.वी. रमण एक प्रतिभावान वैज्ञानिक थे
364, उन्होंने प्रकाश किरणों की गुणधर्मिता तथा आकाश और समुद्र के रंगों की व्याख्या पर विशेष शोध किया
365, अपने शोध के लिए उन्हें  में नोबेल पुरस्कार भी मिला
366, एस. रामानुजम असाधारण प्रतिभावान गणितज्ञ थे
367, गणितीय सिद्धान्तों के क्षेत्र में उनके अनुसन्धान के कारण उन्हें बहुत यश और ख्याति मिली
368, इसी विद्वतशृंखला में एक प्रसिद्ध वनस्पति और भूभर्ग शास्त्री बीरबल साहनी भी थे
369,बीसवीं शताब्दी के पूर्वार्द्ध का शिखर छूने वाले वैज्ञानिकों में एम. एन. साहा एस.एन. बोस डी. एन. वीजिया और प्रफुल्लचंद्र राय के नाम उल्लेखनीय हैं
370, स्वतंत्रता प्राप्ति के बाद की भारतीय वैज्ञानिक उपलब्धियाँ
371,आजादी के बाद जहाँ भारत ने समाज के हर क्षेत्र में तेजी से विकास किया वहीं विज्ञान के क्षेत्र में भी अनेक उपलब्धियाँ हासिल कीं
372, स्वतंत्र भारत की प्रथम सरकार में विज्ञान और प्राकृतिक संसाधनों का एक पृथक मंत्रालय बनाया गया
373, यह मंत्रलय प्रधानमंत्री पंडित जवाहरलाल नेहरू ने अपने अधीन रखा था
374, नेहरू जी भारत के बहुमुखी विकास के लिए प्रतिबद्ध थे
375, उन्होंने वैज्ञानिक अनुसंधान के लिए सब तरह के साधन और सुविधाएँ जुटाईं
376,उपलब्ध क्षमता और प्रोत्साहन के कारण  वर्षों में ही भारत ने विश्व की वैज्ञानिक और प्रौद्योगिकी की महानतम शक्तियों में तीसरा स्थान प्राप्त कर लिया है
