,sentence
377, परिणामस्वरूप भारत कच्चे माल के निर्यात से अब विश्व की सर्वाधिक मजबूत औद्योगिक अर्थव्यवस्था में से एक बन गया है
378,भारत ने विज्ञान के अन्य विभिन्न क्षेत्रों में अभूतपूर्व प्रगति की है
379, खगोल विज्ञान में प्राचीन अध्ययनों के आधार पर ही भारत के वैज्ञानिक अंतरिक्ष अनुसंधान कार्यों में लगे हैं
380, आज भारत के अंतरिक्ष वैज्ञानिक अपने बलबूते पर उपग्रह बनाकर और अपने ही शक्तिशाली रॉकेटों से उन्हें अंतरिक्ष में स्थापित करने में समर्थ हैं
381, पूर्णतः स्वदेश में निर्मित ध्रुवीय प्रक्षेपण यान पी.एस.एल.वी.सी.  ने  मई  को  बजकर  मिनट पर श्रीहरिकोटा से एक सफल उड़ान भरी और एक भारतीय उपग्रह तथा दो विदेशी उपग्रहों को अंतरिक्ष में निर्धारित कक्षा में स्थापित कर दिया
382, अंतरिक्ष कार्यक्रमों में भारत काफ़ी आगे पहुँच चुका है
383, इसके साथ ही भारत के दूर संवेदी नेटवर्क में  ग्रह शामिल हो गए हैं
384, हमारा यह दूर संवेदी नेटवर्क संसार का सबसे बड़ा दूरसंवेदी नेटवर्क है
385, अंतरिक्ष कार्यक्रमों का विकास संचार माध्यमों तथा रक्षा मामले संबंध सफलताओं में काफ़ी सहायक सिद्ध हुआ है
386, आज भारत विभिन्न दूरियों तक मार करने वाले प्रक्षेपास्त्र बनाने में समर्थ है
387, प्रतिरक्षा के क्षेत्र में अनेक उल्लेखनीय सफलताएँ मिली हैं
388,भारत ने परमाणु ऊर्जा के क्षेत्र में भी आश्चर्यजनक प्रगति की है
389, परमाणु ऊर्जा का मुख्यतः उपयोग कृषि और चिकित्सा जैसे शांतिपूर्ण कार्यों के लिए किया जा रहा है
390, परमाणु और अंतरिक्ष से जुड़ा विषय इलैक्ट्रॉनिकी है
391, भारत ने सूचना प्रौद्योगिकी के क्षेत्र में आश्चर्यजनक प्रगति की है
392, परम  सुपर कंप्यूटर बनाकर हम इस क्षेत्र में अग्रणी देशों की पंक्ति में आ गए हैं
393, हम अब सूचना प्रौद्योगिकी से संबंधित उपकरणों का निर्यात विकसित देशों को भी कर रहे हैं
394, भारत के सूचना प्रौद्योगिकी में प्रशिक्षित इंजीनियरों की अमेरिका ब्रिटेन जर्मनी और जापान जैसे विकसित देशों में भारी माँग है
395,वैज्ञानिक अनुसंधानों के बलबूते पर भारत ने जलयान निर्माण रेलवे उपकरण मोटर उद्योग कपड़ा उद्योग आदि में आशातीत सफलता प्राप्त की है
396, आज हम भारत की उद्योगशालाओं में बनी अनेक वस्तुओं का निर्यात करते हैं
397,इन्हें भी देखें
398,भारतीय विज्ञान एवं प्रौद्योगिकी का इतिहास
399,भारतीय धातुकर्म का इतिहास
400,रसशास्त्र
401, बाहरी कड़ियाँ
402,श्रेणीभारत
403,श्रेणीविज्ञान
404,श्रेणीप्रौद्योगिकी
405, औद्योगिक गैस
406, ऑक्सीजनआर्गन अनुपात दो शारीरिक रूप से समान गैसों का अनुपात है जो विभिन्न क्षेत्रों में महत्व है
407, इसी प्रकार क्रांति के दौरान यह विचार आया कि क्रांति को स्थायी और सुदृढ़ रखने के लिए इसे यूरोप के अन्य देशों में भी विस्तारित किया जाएं
408, इसमें एक ऐसे युद्ध की कल्पना की गई जिसमें फ्रांसीसी सेनाएं पड़ोसी देशों में प्रवेश कर वहां के स्थानीय क्रांतिकारियों से मिलकर राजतंत्र को अपदस्थ कर गणतंत्रों की स्थापना करती है
409,फ्रांस की क्रांति मात्र एक राष्ट्रीय घटना नहीं थी अपितु सिद्धान्तों स्वतंत्रता समानता एवं बंधुत्व के नारों से संपूर्ण यूरोप गूंज उठा
410, क्रांति के प्रभाव इतने दूरगामी रहे कि समस्त यूरोप इससे आच्छादित हुआ
411, इसी संदर्भ में कहा गया “यदि फ्रांस को जुकाम होता है तो समस्त यूरोप छींकता है
412,”
413, क्रांति सुनियोजित नहीं थी 
414,फ्रांस की क्रांति रूसी क्रांति के समान सुनियोजित नहीं थी
415, वस्तुतः रूसी क्रांति बोल्शेविकों द्वारा सुनियोजित थी और उसका उद्देश्य सत्ता हासिल कर सर्वहारा का शासन स्थापित करना था लेकिन फ्रांसीसी क्रांति शुरू से अंत तक घटनाओं और परिस्थितियों का शिकार रहीं और घटनाएं इस तरह से नहीं घटी जिस तरह से क्रांतिकारियों ने चाहा बल्कि घटनाओं ने क्रांतिकारियों को अपना रास्ता बदलने के लिए मजबूर किया
416, स्टेट्स जनरल की बैठक में यदि तृतीय स्टेट की बात अन्य स्टेट्स ने मान ली होती तो क्रांति का रूख दूसरा होता
417, इसी प्रकार आतंक का राज्य और डायरेक्टरी के शासन भी सुनियोजित ढंग से नहीं चले
418, इस दृष्टि से यह क्रांति अव्यवस्थित थी
419, 'सामाजिक क्रांति' के रूप में 
420,फ्रांसीसी क्रांति के मूल में तत्कालीन फ्रांसीसी समाज की दुरावस्था भी एक महत्वपूर्ण कारक थी
421, पूरा समाज विशेषाधिकार प्राप्त और अधिकार विहीन वर्गों में विभक्त था
422, कृषकों की स्थिति करों के बोझ से खराब थी तो दूसरी तरफ उन्हें सामंतों के अत्याचार तथा चर्च के हस्तक्षेप से भी शोषण का शिकार होना पड़ता था
423, इन स्थितियों ने क्रांति को राह दिखाई और क्रांतिकारियों ने इसी असमानता के विरूद्ध आवाज बुलंद की और स्वतंत्रता समानता तथा बंधुत्व का नारा दिया
424, क्रांति के दौरान ही सामंतवाद के अंत की घोषणा हुई विशेषाधिकारों को खत्म किया गया
425, अधिनायकवादी स्वरूप 
426,फ्रांसीसी क्रांति में सर्वसाधारण की भागेदारी रहीं थी किन्तु उनके हितों को नजरंदाज करके क्रांति ने अधिनायकवाद का रूप धारण कर लिया जिसमें किसी एक व्यक्ति के सिद्धान्तों और इच्छाओं की प्रधानता थी
427, वस्तुतः क्रांति के दौरान रॉबस्पियर के नेतृत्व में एक तानाशाही सरकार या अधिनायकतंत्र की स्थापना हुई थी और आगे चलकर नेपालियन ने भी अधिनायकतंत्र की स्थापना की
428, प्रगतिशील क्रांति के रूप में 
429,फ्रांस की क्रांति वहां की पुरातन व्यवस्था में व्याप्त तमाम विकृतियों विसंगतियों एवं बुनियादी दोषों के विरूद्ध एक सशक्त प्रतिक्रिया थी
430, क्रांति ने निरंकुश राजतंत्र असमानता पर आधारित फ्रांसीसी समाज विलासितापूर्ण पादरी वर्ग तथा आर्थिक दिवालियेपन के संकट से जूझ रहे कुशासन का अंत कर फ्रांस में प्रजातांत्रिक शासन प्रणाली का मार्ग प्रशस्त किया
431, इस दृष्टि से इसे दृष्टि से इसे प्रगतिशील क्रांति के रूप में देखा जा सकता है
432,इतना ही नहीं मानवधिकारों की घोषणा स्वतंत्रता समानता व बंधुत्व के नारे तथा राष्ट्रीयता की विचारधारा से समस्त विश्व के नारे तथा राष्ट्रीयता की विचारधारा से समस्त विश्व को अवगत कराया परिणामस्वरूप विश्व के कई देशों में राजनीतिक अधिकारों की मांग को लेकर जनांदोलन होने लगे
433, इटली एवं जर्मनी के एकीकरण की भावना को प्रोत्साहन मिला
434, धर्म और राजनीति के पृथक्करण का मुद्दा पहली बार इस क्रांति के दौरान उठा
435, राज्य और राजनीति धर्म से अलग किए गए
436,फ्रांस में ही क्रांति क्यों
437,विश्व इतिहास में फ्रांस की राज्य क्रांति को विशिष्ट महत्व प्राप्त है यह मानव इतिहास की एक महत्वपूर्ण घटना मानी जाती है
438, इसमें न केवल फ्रांस बल्कि युरोप के जन जीवन में अमुल्य परिवर्तन ला दिया इसमें शदियों से चली आ रही सामंती व्यवस्था को नष्ट कर आधुनिक लोकतांत्रिक व्यवस्था का मार्ग प्रास्त किय
439, राजतंत्र की निरंकुशता समाप्त हुई और लोकतांत्रिक वातावर्ण में लोगों ने चैन की साँस ली
440,इस समय हमारे सामने यह प्रशन उठता है कि  ई. में क्रांति का सुत्रपात अन्य युरोप देशों में न होकर पहले फ्रांस में ही क्यों हुई
441,  वीं शताब्दी के युरोप राष्ट्रों का अध्ययन करने से ज्ञात होता है कि उस समय फ्रांस की जो स्थिति थी उससे भी बदतर अन्य यूरोप राष्ट्रों की थी
442, निरंकुश राजतंत्र सुविधा युक्त वर्ग और करों के असाहनीय भार से दबा हुआ था
443, साधारण वर्ग प्राय सभी युरोप देशों में मौजुद थे
444, कुछ राज्यों की स्थिति तो फ्रांस से भी अधिक विकृत थी प्रशा आस्ट्रिया और रुस आदि फ्रांस से भी अधिक विकृत थे
445, फ्रांसीसी कृषक अन्य यूरोप राष्ट्रों की अपेक्षा खुसहाल थे
446, साधारण वर्ग की स्थिति अन्य युरोप राज्यों में और भी खराब थी
447, फिर भी क्रांति इन देशों में न होकर पहले फ्रांस में ही हुई
448, इसका प्रमुख कारण यह था की फ्रांस लोग अपनी स्थिति के प्रति जागरुक थे
449, क्रांति के लिए यह कोई आवश्यक शर्त नहीं कि इसका विस्फोट उसी देशों में हो जहाँ के लोग अत्याचार अनाचार और शोषण के शिकार हो
450, समृद्ध और उन्नत देश में भी क्रांति हो सकती है
451, बशर्ते उसके निवासी यह महसुस करे कि उनके साथ अन्याय हो रहा है
452, फ्रांस की जनता इस अन्याय को महसुस कर रही थी
453, और से दूर करना चाहती थी
454, वहाँ ऐसे अनेक दार्शनिक और लेखक पैदा हुए जिन्होंने अपनी लेखनी के द्वारा इन कष्टों की ओर लोगों का ध्यान आकृष्टि कराया अन्य युरोपीय देशों की बदतर स्थिति के बावजुद फ्रांस में सर्वप्रथम लुई सोलवाँ के खिलाफ क्रांति हुई
455, इस क्रांति के अनेक कारण थे जो इस प्रकार है
456,फ्रासीसी सामंतों का बदला हुआ स्वरुप और किसानो की उन्नत अवस्था
457,फ्रांसीसी किसानों की उन्नत अवस्था और सामंतवाद का बदला हुआ स्वरुप ऐसा कारण था
458, जिसके चलते फ्रांस में सर्व प्रथम राज्यक्रांति हुई
459, यूरोपीय देश के किसान अभी उदासी की स्थिति में थे
460, परन्तु फ्रांस के किसान स्वतंत्र हो चुके थे
461, उनके पास अपनी जमीन अपना मकान इतनी सुविधा के बावजुद सामंत कर एवं सामंत सेवाओं का अंत नहीं हुआ था उन्हें अपनी आमदनी का बहुत बड़ा हिस्सा सामंत कर के रूप में चुकाना पड़ता था
462, और फिर भी उसकी स्थिति अच्छी धी
463, वे पैसे बचाकर कुछ न कुछ जमीन खरीद लिया करते थे जमीन खरीदने की भूख निरंतर बढ़ती जा रही थी इसमें सामंत कर व बेरोजगारी बाधक थे अत वे सामंत पेशों को हटाने की बात सोच रहे थे अत माध्यम वर्ग के नेतृत्व में उन्हे बल मिला और  ई. में उन्होंने विद्रोह कर दिया
464,फ्रांस में उदार निरंकुशता की परंपरा का आभाव
465,अन्य यूरोपीय देशों में भी निरंकुश राजतंत्र था
466, परन्तु वहाँ के सम्राटों ने समयनुसार अपनी निरंकुशता में कमी कर दी थी
467, प्रशा का राजा फ्रेडिरक अपने समय का महान प्रबुद्ध प्रशासक था
468, जिसका 
469,अनुसरण यूरोप के अन्य देश रुस जर्मनी इटली स्पेन आदि ने किया
470, उन्होने समयनुसार जाता की आर्थिक भौतिक तथा अन्य क्षेत्रों में उन्नत करने का यथा संभव प्रयास किया
471, परन्तु फ्रांस में इस तरह कि उदार निरंकुशता का आभाव था
472, वहाँ के राजा जनता की भलाई के लिए कुछ नहीं कर रहे थे
473, बल्कि अधिक टैक्स वसुलना और जनता का शोषण करना उनकी नीति बन गई थी
474, इसलिए फ्रांस की जनता इससे उब गई थी इसलिए फ्रांस की जनता निरंकुश राजतंत्र को समाप्त करना चाहती थी
475,माद्यम वर्ग की जागरुकता
476,फ्रांस में ही सर्वप्रथम क्रांति होने का कारण वहाँ का मध्यमवर्ग था
477, अन्य देशों में भी मध्यम वर्ग थी परन्तु वे फ्रांस की तरह सांस्कृति धनी एवं शिक्षित नहीं थे
478, उनमें शक्ति का आभाव था
479, वे राजा के खिलाफ बगावत करने की सोच नहीं सकते थे
480, फ्रांस में मध्यम वर्ग के लोग अनेक कारण से अपने सम्राटों से असंतुष्ट थे
481, और अपनी रक्षा के लिए राज सत्ता पर अंकुश लगाने के लिए उतावला हो रहे थे
482, अन्य यूरोपीय राज्यों में इस तरह की स्थिति का अभाव था
483, अन्य देशों में नेतृत्व करने वाला कोई नहीं था फ्रांस में जागरुक मध्यमवर्ग तैयार था
484, अत सर्वप्रथम फ्रांस में ही क्रांति हुई
485,कुलीनवर्ग की अनुपयोगिता
486,कुलीन वह्ग को पहसे विशेषधिकार इस लिए दिया गया था कि वे शासन चलाने में राजा की मदद करे
487, और वे जनाता की रक्षा भी करते थे
488, परन्तु धीरे –  यह कार्य राजा के कर्मचारी करने लगा
489, फलत कुलीनों की उपयोगिता समाप्त हो गई
490, फिर भी इसके विशेषधिकार में किसी प्रकार की कटौती नहीं की गई
491, इसलिए किसान और मध्यम वर्ग के लोग कुलिनवर्ग से घृणा करने लगे
492, अन्य देशों में ऐसी बात नहीं थी
493, वहाँ अभी भी कुलीनों कि पयोगिता बनी हुई थी
494,दार्शनिकों का प्रभाव
495, वीं शताब्दी में सम्पूर्ण यूरोप में बौदिक हलचल मची हुई थी
496, दार्शनिक विचारक वाज्ञानिक सभी देशों में विद्धमान थे
497, परन्तु उनमें मुख्य फ्रांस के विचारक थे
498, जिन्होंने क्रांति का मनोवैज्ञानिक आधार प्रस्तुत किया
499, उन्होंने समाज में वयप्त बुराईयों की ओर लोगों का ध्यान आकृष्ट कराया और मुक जनता को वाणी दी
500, इस तरह का प्रयास अन्य देशों में नहीं किया जा रहा था
501, मान्टेग्यु वाल्टेयर रुसो आदि विचारकों का कार्य क्षेत्र फ्रांस ही था
502, आस्ट्रिया प्रशा और रुस में इस तरह के विचारक नहीं थे
503, यूरोप के अन्य देशों में लोगों का उनकी वास्तविक स्थिति बताने वाला और उनमें संतोष पैदा करने वाला दार्शनिकों का कोई वर्ग नहीं था
504, फ्रांस में ही क्रांति होने का यह एक प्रमुख कारण था
505,राजनीतिक सहभागिता का आभाव
506,इंगलैण्ड में जब मध्यम वर्ग ने जागरुकता आई तो उसे देश की राजनीति में भाग लेने का अवसर दिया गया
507, परन्तु फ्रांस के साथ ऐसी बात नहीं थी
508, फ्रांस का मध्यम वर्ग अपने सम्राटों से काफी असंतुष्ट था
509, उनकी अपेक्षा की जाती थी
510, शिक्षित होने के बावजूद उन्हें कुलीनों की तरह प्रतिष्ठा उपलब्ध नहीं थी
511, उन्हें फ्रांस की राजनीति में भाग लेने का अवसर नहीं दिया जाता था
512, इसलिए उन्होने असंतुष्ट होकर क्रांति का नारा बुलंद किया
513,अयोग्य राजा तथा प्रशासन में भ्रष्टाचार
514,फ्रांस की राजनितिक व्यवस्था केन्द्रीकृत थी लेकिन राजा अयोग्य थे
515, प्रशासन में भ्रष्टाचार का बोलबाला था
516, यूरोप के अन्य देशों में निरंकुश शासन तोथा परन्तु राजा योग्य थे और शासन पर उनका पुर्ण नियंत्रण था
517, फ्रांस का माध्यम वर्ग इस प्रशासनिक भ्रष्टाटार को महसूस कर रहा था
518, तथा इसलिए वह विद्रोह करने के लिए तैयार था
519,राष्ट्रीय भावना का उदय
520,इस समय यूरोप में तेजी से राष्ट्रीय भावना का उदय होने लगा
521, सम्पूर्ण यूरोप में फ्रांस ही एक ऐसा देश था जहाँ एक राष्ट्र भावना का पूर्णत अभाव था
522, इसके चलते भी सर्वप्रथम फ्रांस में ही क्रांति हुई
523,अमेरिकी स्वतंत्रता संग्राम का प्रभाव
524, ई. में अमेरिकन स्वतंत्रता संग्राम प्रारंभ हुआ
525, जिमें अमेरिका के लोगों ने इंगलैण्ड के खिलाफ विद्रोह कर कर दिया
526, फ्रांस के सैनिकों को भी इस स्वतंत्रता संग्राम में भाग लेने का अवसर मिला अत उन्होने यह महसुस किया कि युद्ध के द्वारा स्वतंत्रता प्राप्ति की जा सकती है
527, उन्होंने यह भी अनुभव किया कि स्वतंत्रता सो ही सुख की प्राप्ति संभव है
528, फ्रांस लौटने पर उन्होने देखा की जिस स्वतंत्रता को लिए उन्होनें अमेरिका में युद्ध किया उसी स्वतंत्रता का फ्रांस में पूर्णत आभाव है
529, अत वे यहाँ की क्रांति के लिए बेचैन हो उठे और युद्ध के द्वारा स्वतंत्रता प्राप्त करने की चेष्टा करने लगे
530, यूरोप के अन्य देशों में ऐसी बात नहीं थी
531,फ्रांसीसी सभ्यता की श्रेष्ठता
532,फ्रांस में ही क्रांति होने का एक विशिष्ट कारण यह था कि यहाँ की सभ्यता और सांस्कृति अन्य यूरोप की सभ्यता और सांस्कृति अन्य यूरोप राष्ट्रों की अपेक्षा अधिक समृद्ध और वैभव पूर्ण थी
533, शासन व्यवस्था की दृष्टि से भी फ्रांस का शासन अत्यधिक सुवयवस्थित था
534, फ्रांस सम्पूर्ण यूरोप सभ्यता और सांस्कृति का प्रतिक माना जाता है
535, सम्पूर्ण यूरोप में पेरिस साहित्य और चिंतन का सबसे बड़ा केन्द्र माना जाता है
536, फ्रांस जनमत अन्य यूरोप राज्यों की अपेक्षा अधिक जागृत और आलोचनात्मक था
537, इन सभी कारणों के फलस्वरुप  ई. में अन्य यूरोप राज्यों में क्रांति न होकर सर्वप्रथम फ्रांस में ही क्राति हुई
538, इन्हें भी देखें 
539, संबंधित पेज 
540,  
541, लोकतंत्र के इतिहास
542, जीन निकोलस पचे  लिबरते इगालाईट फ्रेतार्नाईट
543, ला रेवोल्यूशन फ़्रेन्काइस फिल्म
544, फ्रांसीसी क्रांति के दौरान फ्रांस की मानद नागरिकता प्राप्त करने वाले लोगों की सूची
545, क्रांतियों और विद्रोहों की सूची
546, नेपोलियन बोनापार्ट की सैन्य कैरियर
547, नेपोलियन की संकेतलिपि
548, यूरोप में राष्ट्रवाद का उत्थान
549, फ्रांसीसी इतिहास में अन्य क्रांतियां या विद्रोह 
550, कामिसर्द विद्रोह फ्रेंच हुगुएनोट्स 
551, हाईटियन क्रांति हैती कॉलोनी 
552, जुलाई क्रांति 
553,  की फ्रांसीसी क्रांति
554,  के पेरिस कम्यून
555, फ्रांसीसी सेना विद्रोह 
556, मई  फ्रांस में एक उल्लेखनीय विद्रोह हालांकि एक क्रांति के लिए काफी नहीं
557, सन्दर्भ 
558,             |= 
559,          ç        .
560, उद्धृत कार्य 
561,     
562,     
563, ऐतिहासिक युग 
564, बाहरी सम्बन्ध 
565, कोलंबिया विश्वकोश से  में प्रवेश
566, इंटरनेट आधुनिक इतिहास स्रोत पुस्तक से 
567,  सेंटर फॉर हिस्ट्री एंड न्यू मिडिया जोर्ज मेसन विश्विद्यालय और अमेरिकन सोशल हिस्ट्री प्रोजेक्ट सिटी यूनिवर्सिटी न्यू यार्क के द्वारा एक सहयोगी साईट.
568,   और  दी हिस्ट्री गाइड से तीन निबंध आधुनिक यूरोपीय बौद्धिक इतिहास पर व्याख्यान
569,श्रेणीफ़्रांस का इतिहास
570,श्रेणी वीं सदी के विद्रोह
571,श्रेणी वीं सदी की क्रांति
572,श्रेणीगूगल परियोजना
573,श्रेणीफ्रांसीसी क्रान्ति
574, भगवान दास भारत रत्न
575, समता प्रसाद गुदई महाराज तबला वादक पद्मश्री
576,जय शंकर प्रसाद   हिंदी साहित्यकार
577,प्रेमचंद  हिंदी साहित्यकार 
578,भारतेंदु हरिश्चंद्र  हिंदी साहित्यकार
579, सन्दर्भ ग्रन्थ 
580, बृहदारण्यक उपनिषद अध्याय २ खण्ड १ श्लोक१
581, कौषीतकी उपनिषद अध्याय ४ खण्ड१
582,       |=     
583,      |=     
584, पाणिनि के अष्टाध्यायी ४/२/११
585, ऋग्वेद १/१३०/
586, रघुवंश ७/६१० एवं कुमारसंभवम् ७/५/य
587, नाट्य शास्त्र पृ. ३६३०४
588,      |=     
589,      |=     
590,      |=     
591,      |=     
592,      |=     
593,      |=     
594,      |=     
595,      |=     
596,      |=     
597,      |=     
598, टीका टिप्पणी 
599, क. अविमुक्तं समासाद्य तीर्थसेवी कुरुद्वह
600, दर्शनादेवदेस्य मुच्यते ब्रह्महत्यया ॥
601, ख. ततो वाराणसीं गत्वा देवमच्र्य वृषध्वजम्
602, कपिलाऊदमुपस्पृश्य राजसूयफलं लभेत् ॥
603, ग. भौमानामपि तीर्थनां पुणयत्वे कारणं ॠणु
604, यथा शरीरस्योधेशा केचित् पुण्यतमा समृता॥
605,पृथिव्यामुधेशा केचित् पुण्यतमा समृता
606, प्रभावाध्दभुताहभूमे सलिलस्य च तेजसा
607,परिग्रहान्युनीमां च तीर्थानां पुण्यता स्मृता॥
608, घ. अविमुक्तं वै देवानां देवयजनं सर्वेषां भूतानां ब्रह्मसदनमत्र हि जन्तो
609,प्राणोषूत्क्रममाणेषु रुद्रस्ताखं ब्रह्म व्याचष्टे येना सावमृततीभूत्वा
610,मोक्षीभवती तस्मादविमुक्तमेव निषेविताविमुक्तं न विमुंचेदेवमेवैतद्याज्ञवल्क्यः
611, च. अविमुक्तं समासाद्य तीर्थसेवी कुरुद्वह
612,दर्शनादेवदेस्य मुच्यते ब्रह्महत्यया॥
613, छ. ततो वाराणसीं गत्वा देवमच्र्य वृषध्वजम्
614, कपिलाऊदमुपस्पृश्य राजसूयफलं लभेत् ॥
615, झ. द्वादश ज्योतिर्लिंग स्तोत्रम्
616,सौराष्ट्रे सोमनाथं च श्रीशैले मल्लिकार्जुनम्
617, उज्जयिन्यां महाकालमोंकारममलेश्वरम्॥
618,परल्यां वैद्यनाथं च डाकिन्यां भीमशंकरम्
619, सेतुबन्धे तु रामेशं नागेशं दारुकावने॥
620,वाराणस्यां तु विश्वेशं त्र्यम्बकं गौतमीतटे
621, हिमालये तु केदारं घुश्मेशं च शिवालये॥
622,एतानि ज्योतिर्लिंगानि सायं प्रातः पठेन्नरः
623, सप्तजन्मकृतं पापं स्मरणेन विनश्यति॥
624,एतेशां दर्शनादेव पातकं नैव तिष्ठति
625, कर्मक्षयो भवेत्तस्य यस्य तुष्टो महेश्वराः॥
626,अर्थातसौराष्ट्र प्रदेश काठियावाड़ में श्री सोमनाथ श्रीशैल पर श्री मल्लिकार्जुन उज्जयिनी में श्री महाकाल ओंकारेश्वर अमलेश्वर परली में वैद्यनाथ डाकिनी नामक स्थान में श्रीभीमशंकर सेतुबंध पर श्री रामेश्वर दारुकावन में श्रीनागेश्वर वाराणसी काशी में श्री विश्वनाथ गौतमी गोदावरी के तट पर श्री त्र्यम्बकेश्वर हिमालय पर श्रीकेदारनाथ और शिवालय में श्री घृष्णेश्वर को स्मरण करें
627, जो मनुष्य प्रतिदिन प्रातःकाल और संध्या के समय इन बारह ज्योतिर्लिंगों का नाम लेता है उसके सात जन्मों का किया हुआ पाप इन लिंगों के स्मरणमात्र से मिट जाता है
628, सन्दर्भ 
629, बाहरी कड़ियाँ 
630,  सभी मुख्य मंदिर एवं घाट चिह्नित
631,श्रेणीवाराणसी जिले के शहर
632,श्रेणीहिन्दू पवित्र शहर
633,श्रेणीप्राचीन भारतीय शहर
634,श्रेणीहिन्दू तीर्थ स्थल
635,श्रेणीभारत के रजवाड़े
636,श्रेणीशैव धर्म
637,श्रेणीवाराणसी
638,श्रेणीशक्ति पीठ
639,श्रेणी१८५७ के भारतीय स्वतंत्रता संग्राम के स्थल
640,श्रेणीबौद्ध धार्मिक स्थल
641,श्रेणीआज का आलेख
642,श्रेणीपूर्व भारतीय राजधानियां
643,श्रेणीभारत के घाट
644,श्रेणीहिन्दी विकि डीवीडी परियोजना
